last_function_id,last_args,reward
2,"[[2], [80, 8]]",0
3,"[[0], [66, 10], [22, 30]]",0
4,"[[4], [1]]",0
0,[],0
4,"[[4], [7]]",0
4,"[[1], [8]]",0
7,[[1]],0
453,[[0]],0
234,[[0]],0
5,"[[0], [487]]",0
333,"[[1], [28, 44]]",0
274,[[1]],0
274,[[0]],0
3,"[[1], [3, 41], [1, 24]]",0
234,[[1]],0
4,"[[3], [9]]",0
2,"[[2], [75, 38]]",0
274,[[1]],0
452,"[[1], [51, 25]]",0
274,[[0]],0
2,"[[2], [15, 73]]",0
333,"[[1], [13, 81]]",0
1,"[[28, 42]]",0
4,"[[0], [9]]",0
3,"[[0], [71, 49], [60, 29]]",0
7,[[1]],0
5,"[[1], [357]]",0
332,"[[0], [62, 44]]",0
4,"[[3], [4]]",0
331,"[[1], [18, 10]]",0
1,"[[11, 54]]",0
3,"[[1], [7, 44], [21, 1]]",0
451,"[[1], [50, 49]]",0
234,[[0]],0
12,"[[0], [70, 7]]",0
5,"[[2], [16]]",0
2,"[[2], [32, 58]]",0
334,"[[0], [59, 17]]",0
453,[[0]],0
2,"[[2], [62, 8]]",0
332,"[[0], [22, 10]]",0
334,"[[1], [51, 56]]",0
334,"[[1], [36, 48]]",0
332,"[[1], [7, 47]]",0
453,[[1]],0
452,"[[1], [42, 56]]",0
4,"[[2], [3]]",0
452,"[[1], [17, 51]]",0
274,[[0]],0
5,"[[3], [392]]",0
12,"[[0], [26, 70]]",-1
4,"[[4], [7]]",0.0
4,"[[3], [0]]",0
7,[[1]],0
451,"[[0], [77, 63]]",0
0,[],0
453,[[1]],0
0,[],0
5,"[[3], [229]]",0
453,[[1]],0
274,[[0]],0
453,[[1]],0
13,"[[0], [5, 36]]",0
7,[[1]],0
274,[[1]],0
0,[],0
5,"[[2], [475]]",0
332,"[[1], [31, 33]]",0
332,"[[0], [58, 15]]",0
1,"[[4, 16]]",0
12,"[[0], [17, 56]]",0
452,"[[0], [35, 21]]",0
333,"[[0], [80, 43]]",0
333,"[[0], [67, 69]]",0
331,"[[1], [68, 49]]",0
451,"[[1], [66, 69]]",0
332,"[[1], [45, 20]]",0
452,"[[0], [6, 10]]",0
452,"[[1], [11, 39]]",0
12,"[[0], [20, 64]]",0
331,"[[1], [53, 16]]",0
452,"[[0], [8, 51]]",0
453,[[0]],0
453,[[0]],0
452,"[[0], [55, 54]]",0
453,[[1]],0
453,[[1]],0
452,"[[0], [29, 4]]",0
1,"[[63, 45]]",0
332,"[[1], [37, 47]]",0
451,"[[1], [79, 48]]",0
13,"[[1], [5, 36]]",0
234,[[0]],0
0,[],0
2,"[[1], [41, 68]]",0
274,[[0]],0
5,"[[1], [114]]",0
333,"[[0], [12, 24]]",0
331,"[[1], [47, 47]]",0
7,[[1]],0
331,"[[1], [35, 37]]",0
331,"[[0], [73, 66]]",0
274,[[0]],0
2,"[[2], [18, 3]]",0
7,[[0]],0
4,"[[0], [4]]",0
13,"[[0], [45, 52]]",0
5,"[[2], [53]]",0
0,[],0
451,"[[0], [36, 2]]",0
7,[[1]],0
0,[],0
274,[[0]],-1
4,"[[1], [3]]",0.0
0,[],0
4,"[[3], [3]]",0
1,"[[58, 53]]",0
7,[[0]],0
7,[[1]],0
4,"[[3], [8]]",0
5,"[[2], [172]]",0
334,"[[0], [51, 52]]",0
4,"[[0], [4]]",0
4,"[[3], [4]]",0
13,"[[1], [21, 3]]",0
453,[[1]],0
4,"[[2], [5]]",0
334,"[[0], [27, 63]]",0
453,[[1]],0
452,"[[0], [36, 50]]",0
332,"[[1], [61, 23]]",0
452,"[[0], [5, 30]]",-1
2,"[[2], [64, 31]]",0.0
7,[[1]],0
13,"[[1], [23, 38]]",0
274,[[1]],0
274,[[1]],0
3,"[[1], [48, 36], [74, 42]]",0
0,[],0
452,"[[0], [49, 20]]",0
12,"[[1], [2, 42]]",0
1,"[[40, 31]]",0
331,"[[0], [39, 80]]",0
453,[[0]],0
234,[[1]],0
453,[[1]],0
13,"[[0], [13, 42]]",0
274,[[1]],0
331,"[[0], [42, 8]]",0
1,"[[22, 27]]",0
331,"[[0], [5, 12]]",0
234,[[0]],0
453,[[1]],0
333,"[[0], [48, 35]]",0
2,"[[1], [29, 10]]",0
0,[],0
2,"[[2], [33, 48]]",0
13,"[[0], [58, 24]]",0
334,"[[0], [38, 39]]",0
7,[[1]],0
234,[[1]],0
12,"[[1], [37, 50]]",0
274,[[0]],0
2,"[[0], [5, 72]]",0
7,[[1]],0
234,[[0]],0
333,"[[1], [80, 49]]",0
2,"[[1], [51, 40]]",0
12,"[[1], [2, 81]]",0
0,[],-1
3,"[[0], [47, 29], [13, 4]]",0.0
